Inning,Wicket Number,Team Score,Batter Out,Over
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),1,31,Qiana Joseph,3.4
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),2,40,Kiran Prabhu Navgire,4.5
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),3,54,Harleen Deol,8.1
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),4,56,Hayley Matthews,9.2
