Inning,Wicket Number,Team Score,Batter Out,Over
Sri Lanka Inning SL Inning 117/10 (16.4 ov),1,4,Pathum Nissanka,0.4
Sri Lanka Inning SL Inning 117/10 (16.4 ov),2,9,Kamil Mishara,1.2
Sri Lanka Inning SL Inning 117/10 (16.4 ov),3,19,Lahiru Udara,2.3
Sri Lanka Inning SL Inning 117/10 (16.4 ov),4,19,Pavan Rathnayake,2.4
Sri Lanka Inning SL Inning 117/10 (16.4 ov),5,45,Janith Liyanage,5.2
Sri Lanka Inning SL Inning 117/10 (16.4 ov),6,49,Dunith Wellalage,5.6
Sri Lanka Inning SL Inning 117/10 (16.4 ov),7,73,Kamindu Mendis,10.1
Sri Lanka Inning SL Inning 117/10 (16.4 ov),8,73,Dushmantha Chameera,10.2
Sri Lanka Inning SL Inning 117/10 (16.4 ov),9,78,Eshan Malinga,11.1
Sri Lanka Inning SL Inning 117/10 (16.4 ov),10,117,Tharindu Ratnayake,16.4
England Lions Inning ENG-L Inning 118/1 (7.2 ov),1,59,Aneurin Donald,3.2
