Inning,Batter,Dismissal,Runs,Balls,4s,6s,Strike Rate
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Qiana Joseph,c & b N Mlaba,14,15,3,0,93.33
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Hayley Matthews,c & b S Taylor,21,23,3,0,91.3
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Kiran Prabhu Navgire,c S Taylor b C Henry,8,6,2,0,133.33
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Harleen Deol,c SA Shah b A Alleyne,2,8,0,0,25.0
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Maddy Green,Not out,10,17,0,0,58.82
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Suzie Bates,Not out,8,12,0,0,66.67
