Inning,Bowler,Overs,Maidens,Runs Conceded,Wickets,Economy
Pakistan 1st Inning,Ollie Robinson,11.0,5,15,3,1.36
Pakistan 1st Inning,Jofra Archer,7.5,2,25,3,3.19
Pakistan 1st Inning,Gus Atkinson,5.0,1,31,0,6.2
Pakistan 1st Inning,Josh Tongue,10.0,1,42,4,4.2
England 1st Inning,Mohammad Abbas,23.0,1,95,1,4.13
England 1st Inning,Mohammad Ali,19.0,2,92,2,4.84
England 1st Inning,Razaullah,23.0,0,148,4,6.43
England 1st Inning,Mohammad Imran Randhawa,16.0,1,47,2,2.94
England 1st Inning,Saim Ayub,8.0,0,41,0,5.13
Pakistan 2nd Inning,Ollie Robinson,23.0,8,54,2,2.35
Pakistan 2nd Inning,Jofra Archer,22.0,1,120,1,5.45
Pakistan 2nd Inning,Gus Atkinson,24.0,3,109,3,4.54
Pakistan 2nd Inning,Josh Tongue,22.0,1,106,2,4.82
Pakistan 2nd Inning,Dan Lawrence,4.4,0,17,2,3.64
Pakistan 2nd Inning,Harry Brook,1.0,0,4,0,4.0
