Inning,Bowler,Overs,Maidens,Runs Conceded,Wickets,Economy
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Rosemary Mair,2.0,0,19,0,9.5
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Chinelle Henry,2.0,0,16,1,8.0
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Nonkululeko Mlaba,3.0,0,10,1,3.33
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Aaliyah Alleyne,3.0,0,12,1,4.0
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Stafanie Taylor,2.0,0,10,1,5.0
Barbados Tridents Women Inning BT-W Inning 73/4 (13.3 ov),Syeda Aroob Shah,1.3,0,6,0,4.0
