Inning,Batter,Dismissal,Runs,Balls,4s,6s,Strike Rate
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Pathum Nissanka,c T Banton b L Wood,4,4,1,0,100.0
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Lahiru Udara,c J Overton b L Wood,6,4,0,1,150.0
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Kamil Mishara,c T Banton b S Baker,5,3,0,0,166.67
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Kamindu Mendis,c J Overton b JA Chohan,29,22,3,1,131.82
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Pavan Rathnayake,b L Wood,0,1,0,0,0.0
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Janith Liyanage,c L Wood b WG Jacks,5,5,1,0,100.0
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Dunith Wellalage,c J Moores b WG Jacks,4,4,1,0,100.0
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Tharindu Ratnayake,c T Banton b L Wood,48,37,5,3,129.73
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Dushmantha Chameera,b JA Chohan,0,1,0,0,0.0
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Eshan Malinga,lbw b S Baker,5,5,1,0,100.0
Sri Lanka Inning SL Inning 117/10 (16.4 ov),Nuwan Thushara,Not out,8,15,1,0,53.33
England Lions Inning ENG-L Inning 118/1 (7.2 ov),Tom Banton,Not out,56,24,7,3,233.33
England Lions Inning ENG-L Inning 118/1 (7.2 ov),Aneurin Donald,c L Udara b D Wellalage,31,8,3,3,387.5
England Lions Inning ENG-L Inning 118/1 (7.2 ov),Will Jacks,Not out,30,12,1,3,250.0
